UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0420979L;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;312;Apprentissage;15
0451565G;BTS - Agricole - Gestion et protection de la nature;32212021308;313;Scolaire;25
0382099A;BTS - Production - Bâtiment - en apprentissage;32211023012;250;Apprentissage;15
0382099A;BTS - Production - Management économique de la construction - en apprentissage;32211023013;114;Apprentissage;15
0131484T;BTS - Services - Management en hôtellerie restauration;32211033422;38;Scolaire;15
0353005B;BTS - Services - Assurance - en apprentissage;32211031311;70;Apprentissage;10
0353005B;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;99;Apprentissage;10
0353005B;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;299;Apprentissage;25
0353005B;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;426;Apprentissage;20
0353005B;BTS - Services - Professions immobilières - en apprentissage;32211031309;315;Apprentissage;10
0342380C;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;350;Scolaire;7
0171603A;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;83;Apprentissage;12
0595728F;BTS - Services - Communication - en apprentissage;32211032003;222;Apprentissage;15
0595728F;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;56;Apprentissage;15
0595728F;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;36;Apprentissage;15
0595728F;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;80;Apprentissage;15
0595728F;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;153;Apprentissage;15
0595728F;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;93;Apprentissage;15
0595728F;BTS - Services - Professions immobilières - en apprentissage;32211031309;199;Apprentissage;15
0772893B;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;435;Apprentissage;80
0772893B;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;198;Apprentissage;20
0772893B;BTS - Services - Communication - en apprentissage;32211032003;226;Apprentissage;20
0772893B;BTS - Services - Gestion de la PME - en apprentissage;32211031409;142;Apprentissage;40
0772893B;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;130;Apprentissage;25
0693733H;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;340;Apprentissage;25
0693733H;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;79;Apprentissage;10
0693733H;BTS - Services - Gestion de la PME - en apprentissage;32211031409;164;Apprentissage;18
0693733H;BTS - Services - Professions immobilières - en apprentissage;32211031309;257;Apprentissage;20
