UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0694179T,BTS - Production - Bâtiment - en apprentissage,32211023012,158.0,Apprentissage,12.0
0694179T,BTS - Production - Travaux publics - en apprentissage,32211023206,145.0,Apprentissage,14.0
0763548U,BTS - Services - Assurance - en apprentissage,32211031311,326.0,Apprentissage,30.0
0762624P,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,754.0,Apprentissage,30.0
0820016X,BTS - Services - Economie sociale familiale - en apprentissage,32211033206,50.0,Apprentissage,3.0
0341651K,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage,32211033608,142.0,Apprentissage,25.0
0772319C,"BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage",32211022709,21.0,Apprentissage,10.0
9711278M,BTS - Services - Métiers de l'audio-visuel opt : gestion de la production - en apprentissage,32211032328,36.0,Apprentissage,1.0
0310040A,Certificat de Spécialisation - Services numériques aux organisations,23K00032601,104.0,Scolaire,20.0
0755544U,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage,32211033608,221.0,Apprentissage,24.0
0755544U,BTS - Services - Métiers de la coiffure - en apprentissage,32211033607,60.0,Apprentissage,24.0
0751698N,BTS - Services - Collaborateur juriste notarial - en apprentissage,32211034502,171.0,Apprentissage,20.0
0751698N,BTS - Services - Comptabilité et gestion - en apprentissage,32211031408,36.0,Apprentissage,30.0
0751698N,BTS - Services - Services et prestations des secteurs sanitaire et social - en apprentissage,32211033002,98.0,Apprentissage,30.0
0755453V,BTS - Services - Comptabilité et gestion - en apprentissage,32211031408,201.0,Apprentissage,126.0
0451335G,BTS - Services - Diététique et nutrition,32211033115,305.0,Scolaire,28.0
0420979L,BTS - Services - Professions immobilières - en apprentissage,32211031312,242.0,Apprentissage,12.0
0420979L,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,269.0,Apprentissage,12.0
0851233D,Certificat de Spécialisation Agricole - Conduite d'un élevage bovin lait - en apprentissage,23G00021220,18.0,Apprentissage,30.0
0451565G,BTS - Agricole - Gestion et protection de la nature,32212021308,194.0,Scolaire,25.0
0382099A,BTS - Production - Bâtiment - en apprentissage,32211023012,242.0,Apprentissage,15.0
0382099A,BTS - Production - Management économique de la construction - en apprentissage,32211023013,101.0,Apprentissage,4.0
0131484T,BTS - Services - Management en hôtellerie restauration,32211033422,30.0,Scolaire,20.0
0353005B,BTS - Services - Assurance - en apprentissage,32211031311,32.0,Apprentissage,5.0
0353005B,BTS - Services - Gestion des transports et logistique associée - en apprentissage,32211031103,44.0,Apprentissage,2.0
0353005B,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,75.0,Apprentissage,8.0
0353005B,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,146.0,Apprentissage,10.0
0353005B,BTS - Services - Professions immobilières - en apprentissage,32211031312,89.0,Apprentissage,3.0
0342380C,BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image,32211032329,208.0,Scolaire,10.0
0171603A,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage,32211033608,75.0,Apprentissage,12.0
0595728F,BTS - Services - Communication - en apprentissage,32211032003,86.0,Apprentissage,20.0
0595728F,BTS - Services - Support à l'action managériale - en apprentissage,32211032409,18.0,Apprentissage,20.0
0595728F,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,48.0,Apprentissage,20.0
0595728F,BTS - Services - Services informatiques aux organisations - en apprentissage,32211032612,34.0,Apprentissage,20.0
0772893B,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,249.0,Apprentissage,50.0
0772893B,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,169.0,Apprentissage,25.0
0772893B,BTS - Services - Communication - en apprentissage,32211032003,120.0,Apprentissage,25.0
0772893B,BTS - Services - Gestion de la PME - en apprentissage,32211031409,100.0,Apprentissage,25.0
